Source;Target;Weight
Inicial;12dRugNcdxK39288NjcDV4GX7rMsKCGn6B;671568335
36SW2Ngb8a5peaRS1FLrMbUBKzqftRj3Tf;1Hh9JzCkNixy8shnuSeCw3ugNTcB2XjETo;1826493
36SW2Ngb8a5peaRS1FLrMbUBKzqftRj3Tf;1NjAXX2NAQ1KNWorqeEFPVDPvvmhSVec2A;4181275
36SW2Ngb8a5peaRS1FLrMbUBKzqftRj3Tf;1b7YbeEJ6R2RyWLtV6pTTh4e3eCbEcPix;6500000
36SW2Ngb8a5peaRS1FLrMbUBKzqftRj3Tf;3HtoxpEwTJxgsQaZ4EtqyBRsZ3va4AeQyQ;140968383
3AD9ybtumJKHGLaVQe95McWxm1gPovGdDa;1NjAXX2NAQ1KNWorqeEFPVDPvvmhSVec2A;4181275
3AD9ybtumJKHGLaVQe95McWxm1gPovGdDa;1b7YbeEJ6R2RyWLtV6pTTh4e3eCbEcPix;6500000
3JYt9Hz9Y3NskizztxSrUtDBhyniG3BJwQ;1b7YbeEJ6R2RyWLtV6pTTh4e3eCbEcPix;6500000
3JYt9Hz9Y3NskizztxSrUtDBhyniG3BJwQ;3HtoxpEwTJxgsQaZ4EtqyBRsZ3va4AeQyQ;140968383
3KVLyZEtZoyQg34pGS1B49m7RyNW6DK12T;3HtoxpEwTJxgsQaZ4EtqyBRsZ3va4AeQyQ;140968383
3KVLyZEtZoyQg34pGS1B49m7RyNW6DK12T;334TEtk1iw7dxoPDfEohEQTorNYwPk8kCL;1054833.693
3GQLc9zshgkTpPb3VFMRscDFLm2nPxkUk8;334TEtk1iw7dxoPDfEohEQTorNYwPk8kCL;1054833.693
3GQLc9zshgkTpPb3VFMRscDFLm2nPxkUk8;32B5bw2ohLfvgBva2B4X3aao9iDa7Eakp5;98508.33803
3CmowmtRWaNV9k2NABjDqmmRJLgy5MGiz9;32B5bw2ohLfvgBva2B4X3aao9iDa7Eakp5;98508.33803
3CmowmtRWaNV9k2NABjDqmmRJLgy5MGiz9;334TEtk1iw7dxoPDfEohEQTorNYwPk8kCL;1957762.294
3Hehfdwkhor2Vh6WXBMsRSxFD7s1r1GU63;334TEtk1iw7dxoPDfEohEQTorNYwPk8kCL;1957762.294
3Hehfdwkhor2Vh6WXBMsRSxFD7s1r1GU63;32B5bw2ohLfvgBva2B4X3aao9iDa7Eakp5;182830.6311
35mXGRz2VFQ2hxD9NJa1QV7nKqzpZXimfc;32B5bw2ohLfvgBva2B4X3aao9iDa7Eakp5;182830.6311
35mXGRz2VFQ2hxD9NJa1QV7nKqzpZXimfc;334TEtk1iw7dxoPDfEohEQTorNYwPk8kCL;1026768.746
35mXGRz2VFQ2hxD9NJa1QV7nKqzpZXimfc;334TEtk1iw7dxoPDfEohEQTorNYwPk8kCL;78960.48078
35mXGRz2VFQ2hxD9NJa1QV7nKqzpZXimfc;35f56LetgTMEHPSbyD98ykW29EBn2N7U7Y;667794.3396
35kPNYhiZ5Pcf9kb5n9tbzcCSF5CH5wsbH;334TEtk1iw7dxoPDfEohEQTorNYwPk8kCL;1026768.746
35kPNYhiZ5Pcf9kb5n9tbzcCSF5CH5wsbH;32B5bw2ohLfvgBva2B4X3aao9iDa7Eakp5;182830.6311
35kPNYhiZ5Pcf9kb5n9tbzcCSF5CH5wsbH;334TEtk1iw7dxoPDfEohEQTorNYwPk8kCL;151039.5435
35kPNYhiZ5Pcf9kb5n9tbzcCSF5CH5wsbH;35f56LetgTMEHPSbyD98ykW29EBn2N7U7Y;893462.3267
32W8QfNgcK32hBRTm6QAgQP7A7j9817JZY;32B5bw2ohLfvgBva2B4X3aao9iDa7Eakp5;95887.42127
32W8QfNgcK32hBRTm6QAgQP7A7j9817JZY;334TEtk1iw7dxoPDfEohEQTorNYwPk8kCL;583085.4831
3P1GpstxVswRB25vjFCzWwSjrYUw3LEGCH;334TEtk1iw7dxoPDfEohEQTorNYwPk8kCL;583085.4831
3P1GpstxVswRB25vjFCzWwSjrYUw3LEGCH;32B5bw2ohLfvgBva2B4X3aao9iDa7Eakp5;54452.9268
3LRWbhJizHhKmd5qjxTU4w8cix9zD2bFrE;32B5bw2ohLfvgBva2B4X3aao9iDa7Eakp5;54452.9268
3LRWbhJizHhKmd5qjxTU4w8cix9zD2bFrE;334TEtk1iw7dxoPDfEohEQTorNYwPk8kCL;801858.768
321zNRSB6ZtwASvF1TrZZF9e2Ug4EgvMjo;334TEtk1iw7dxoPDfEohEQTorNYwPk8kCL;801858.768
321zNRSB6ZtwASvF1TrZZF9e2Ug4EgvMjo;32B5bw2ohLfvgBva2B4X3aao9iDa7Eakp5;74883.62867
35cktVasnGMahoFHT5GS9HZ55Tz6C5yAi7;32B5bw2ohLfvgBva2B4X3aao9iDa7Eakp5;74883.62867
35cktVasnGMahoFHT5GS9HZ55Tz6C5yAi7;334TEtk1iw7dxoPDfEohEQTorNYwPk8kCL;572103.0702
3P78KSXFARydCLyQAUy81wARwYiybYuWZQ;334TEtk1iw7dxoPDfEohEQTorNYwPk8kCL;572103.0702
3P78KSXFARydCLyQAUy81wARwYiybYuWZQ;32B5bw2ohLfvgBva2B4X3aao9iDa7Eakp5;53427.30613
37tknvZ9Ttg4qMks6pu2DjNdUP1W6EPpKj;32B5bw2ohLfvgBva2B4X3aao9iDa7Eakp5;53427.30613
37tknvZ9Ttg4qMks6pu2DjNdUP1W6EPpKj;334TEtk1iw7dxoPDfEohEQTorNYwPk8kCL;1352856.442
3BJxggyLF5VLD1EK2sok8L5vv87MWEQBX1;334TEtk1iw7dxoPDfEohEQTorNYwPk8kCL;1352856.442
3BJxggyLF5VLD1EK2sok8L5vv87MWEQBX1;32B5bw2ohLfvgBva2B4X3aao9iDa7Eakp5;126339.9535
34vpgMNpptstdjGo3w8fxtVPt66GHs8Tir;32B5bw2ohLfvgBva2B4X3aao9iDa7Eakp5;126339.9535
34vpgMNpptstdjGo3w8fxtVPt66GHs8Tir;334TEtk1iw7dxoPDfEohEQTorNYwPk8kCL;1189237.508
33fBcLQwP7CXwzYox5cMCAAM2hYXqRovfq;334TEtk1iw7dxoPDfEohEQTorNYwPk8kCL;1189237.508
33fBcLQwP7CXwzYox5cMCAAM2hYXqRovfq;32B5bw2ohLfvgBva2B4X3aao9iDa7Eakp5;111059.9815
35f56LetgTMEHPSbyD98ykW29EBn2N7U7Y;32B5bw2ohLfvgBva2B4X3aao9iDa7Eakp5;111059.9815
35f56LetgTMEHPSbyD98ykW29EBn2N7U7Y;334TEtk1iw7dxoPDfEohEQTorNYwPk8kCL;20249254.35
35f56LetgTMEHPSbyD98ykW29EBn2N7U7Y;32B5bw2ohLfvgBva2B4X3aao9iDa7Eakp5;4448179.518
35f56LetgTMEHPSbyD98ykW29EBn2N7U7Y;334TEtk1iw7dxoPDfEohEQTorNYwPk8kCL;954451.4039
35f56LetgTMEHPSbyD98ykW29EBn2N7U7Y;334TEtk1iw7dxoPDfEohEQTorNYwPk8kCL;142401.2541
35f56LetgTMEHPSbyD98ykW29EBn2N7U7Y;35f56LetgTMEHPSbyD98ykW29EBn2N7U7Y;2962265.746
32rtpdd4FMgc5pRWcx7KXEW2isKkGAncya;334TEtk1iw7dxoPDfEohEQTorNYwPk8kCL;20249254.35
32rtpdd4FMgc5pRWcx7KXEW2isKkGAncya;32B5bw2ohLfvgBva2B4X3aao9iDa7Eakp5;111059.9815
34dDKqPSRZQTeyAWMk1TuYGAcwS7YDJqRn;32B5bw2ohLfvgBva2B4X3aao9iDa7Eakp5;1891028.326
34dDKqPSRZQTeyAWMk1TuYGAcwS7YDJqRn;334TEtk1iw7dxoPDfEohEQTorNYwPk8kCL;20249254.35
34dDKqPSRZQTeyAWMk1TuYGAcwS7YDJqRn;32B5bw2ohLfvgBva2B4X3aao9iDa7Eakp5;95270.95597
