Source;Target;Weight
Inicial;bc1q7wedv4zdu5smt3shljpu5mgns48jn299mukymc;630549062
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej;3F6hnRWJRaDKMKzartq7g48HyYT2B934R5;9560840
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej;bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej;7975823
15Mno9vhjJvtKJ686UT7Kq12r3YBvedKZX;bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej;7975823
1x9624hHXajkNYAbeeThKiD4zUz2wuxD1;bc1qpm9myp6ux6sdpwvunc96c2rddpkh6d0vmyrzgn;145707
bc1qph70844grsp2shqsu7pt09f5mxte0ykwmke8lp;3P7F9ZEdQeRnpeELr37bLAtdfE1rhhzLqp;172989
bc1qph70844grsp2shqsu7pt09f5mxte0ykwmke8lp;1BqzsRX1EocJ5Exe5Z6rDLpt8A1iUficij;794642
1Bc41qA9kTcsodBfA49ktbbZukx6R4PiNN;1BqzsRX1EocJ5Exe5Z6rDLpt8A1iUficij;794642
1Bc41qA9kTcsodBfA49ktbbZukx6R4PiNN;bc1q0wvhyt8et4le7zxs5ljpa7vkvmpf8ctjrpuaaw;6079835
1Bc41qA9kTcsodBfA49ktbbZukx6R4PiNN;1Anx5KC5wM29JE8cxesy7h6cLeW1t7rZYg;4212938
1Bc41qA9kTcsodBfA49ktbbZukx6R4PiNN;1Bc41qA9kTcsodBfA49ktbbZukx6R4PiNN;99448884
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;bc1q0wvhyt8et4le7zxs5ljpa7vkvmpf8ctjrpuaaw;6079835
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;1Anx5KC5wM29JE8cxesy7h6cLeW1t7rZYg;4212938
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;1Bc41qA9kTcsodBfA49ktbbZukx6R4PiNN;99448884
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;bc1qpx6accgndlh6jku4pw509gwat24yryn7ulu78u;4218943
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;1Bc41qA9kTcsodBfA49ktbbZukx6R4PiNN;95194941
1KzaXkc6kzh3MufjDcBzCWx5mgDHSXnZbn;1Anx5KC5wM29JE8cxesy7h6cLeW1t7rZYg;4212938
1KzaXkc6kzh3MufjDcBzCWx5mgDHSXnZbn;1Bc41qA9kTcsodBfA49ktbbZukx6R4PiNN;99448884
1N9gWAMNobDjx4BGfn5RRAEhw5ELs9fdLC;1Bc41qA9kTcsodBfA49ktbbZukx6R4PiNN;99448884
1D8fDrY9WeH52G4yEXwBRG9YwzjyH3cQQy;bc1qpx6accgndlh6jku4pw509gwat24yryn7ulu78u;4218943
1D8fDrY9WeH52G4yEXwBRG9YwzjyH3cQQy;1Bc41qA9kTcsodBfA49ktbbZukx6R4PiNN;95194941
1D8fDrY9WeH52G4yEXwBRG9YwzjyH3cQQy;bc1qsv75dfz27lgep6epfs8fr9yw283773t5l72gmu;401290
1D8fDrY9WeH52G4yEXwBRG9YwzjyH3cQQy;33PdTnTbW6KrXfaG45LRm9c99v92uoMUSH;5860000
1FpEHbKeWX97D3gmrccBdMHvuHtNJadSaR;1Bc41qA9kTcsodBfA49ktbbZukx6R4PiNN;95194941
1FpEHbKeWX97D3gmrccBdMHvuHtNJadSaR;bc1qsv75dfz27lgep6epfs8fr9yw283773t5l72gmu;401290
1BZyPtcZSeUhkCNtfRXw33YqAB1ybZu4GX;bc1qsv75dfz27lgep6epfs8fr9yw283773t5l72gmu;401290
1BZyPtcZSeUhkCNtfRXw33YqAB1ybZu4GX;33PdTnTbW6KrXfaG45LRm9c99v92uoMUSH;5860000
1CfrKoTdxi8RtHxS4mG4oGfFisjnCdoNwD;33PdTnTbW6KrXfaG45LRm9c99v92uoMUSH;5860000
