Source;Target;Weight
Inicial;1E8CZo2S3CqWg1VZSJNFCTbtT8hZPuQ2kB;634823294
bc1qsf2njs05cnfhu0ltpddh42l8r06mate20zfhkk;bc1qsf2njs05cnfhu0ltpddh42l8r06mate20zfhkk;745815.5837
bc1qsf2njs05cnfhu0ltpddh42l8r06mate20zfhkk;bc1q7hge3wtykhupyg5fvpedepnrykrrggq9u0r07q3tff7xfx7s3zvsz86ag5;9130229.557
bc1qsf2njs05cnfhu0ltpddh42l8r06mate20zfhkk;bc1qsf2njs05cnfhu0ltpddh42l8r06mate20zfhkk;71048.41632
bc1qsf2njs05cnfhu0ltpddh42l8r06mate20zfhkk;bc1q7hge3wtykhupyg5fvpedepnrykrrggq9u0r07q3tff7xfx7s3zvsz86ag5;869770.4431
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;bc1q7hge3wtykhupyg5fvpedepnrykrrggq9u0r07q3tff7xfx7s3zvsz86ag5;9130229.557
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;bc1qsf2njs05cnfhu0ltpddh42l8r06mate20zfhkk;71048.41632
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;bc1q7hge3wtykhupyg5fvpedepnrykrrggq9u0r07q3tff7xfx7s3zvsz86ag5;869770.4431
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;bc1qmj2y4wsfft9f20l30thmz9sr3atypdpt89m62v;548583388
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;bc1q9sun4fwtav44y5cm77h0seae7tchq5xv635zdn;266309
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;410548412
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;38Rps8B1jqvNa8K11xpUWQUevRgfu1gAJZ;260000
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;3QKFKyXQ8hWWqj5Mv3zHkZDHXX5Cr5UgkX;3290000
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;3MGNMKhY1dwAHGQbhgyABm8aGzHMJtSAF4;286346
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej;bc1qsf2njs05cnfhu0ltpddh42l8r06mate20zfhkk;71048.41632
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej;bc1q7hge3wtykhupyg5fvpedepnrykrrggq9u0r07q3tff7xfx7s3zvsz86ag5;869770.4431
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej;bc1qmj2y4wsfft9f20l30thmz9sr3atypdpt89m62v;548583388
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej;bc1q9sun4fwtav44y5cm77h0seae7tchq5xv635zdn;266309
3BeQ46ADHoCpsamQZqK4WiwPaRWd4qmg6L;bc1q7hge3wtykhupyg5fvpedepnrykrrggq9u0r07q3tff7xfx7s3zvsz86ag5;869770.4431
3BeQ46ADHoCpsamQZqK4WiwPaRWd4qmg6L;bc1qmj2y4wsfft9f20l30thmz9sr3atypdpt89m62v;548583388
bc1qencdfa6u8xmldsk0jtvwac3w08awrs6ad4de3s;bc1qmj2y4wsfft9f20l30thmz9sr3atypdpt89m62v;548583388
bc1qencdfa6u8xmldsk0jtvwac3w08awrs6ad4de3s;bc1q9sun4fwtav44y5cm77h0seae7tchq5xv635zdn;266309
1H3tZ2nmW1bTs7qRYS4xUZwaSa3zm614zg;bc1q9sun4fwtav44y5cm77h0seae7tchq5xv635zdn;266309
bc1qdffxxpxa8fzhgyq8akyp37vsrukt5p0etryf3p;bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;410548412
bc1qdffxxpxa8fzhgyq8akyp37vsrukt5p0etryf3p;38Rps8B1jqvNa8K11xpUWQUevRgfu1gAJZ;260000
17APcwDBUYrgXKwMqYH6RsGkiRmhiQ7Ez3;38Rps8B1jqvNa8K11xpUWQUevRgfu1gAJZ;260000
1DH6pCmJbUBuHaWbBCTShSDwz47puhMjbq;3QKFKyXQ8hWWqj5Mv3zHkZDHXX5Cr5UgkX;3290000
1DH6pCmJbUBuHaWbBCTShSDwz47puhMjbq;3MGNMKhY1dwAHGQbhgyABm8aGzHMJtSAF4;286346
14ZhrvGatQjuWbY1r3bgRmcoQ4o7WE8MQM;3MGNMKhY1dwAHGQbhgyABm8aGzHMJtSAF4;286346
14ZhrvGatQjuWbY1r3bgRmcoQ4o7WE8MQM;1QEJwgLVmcEcyXorEbVfBtKCiC3jP8eWM6;2476950
1A5PFH8NdhLy1raKXKxFoqUgMAPUaqivqp;1QEJwgLVmcEcyXorEbVfBtKCiC3jP8eWM6;2476950
1A5PFH8NdhLy1raKXKxFoqUgMAPUaqivqp;3D17upgijKDqW7VZ9oW97hVddTuHHgJwY8;260000
bc1q0zfqu08cdgjrxgdxrhapc0mspewt5zaxd0qmry;3D17upgijKDqW7VZ9oW97hVddTuHHgJwY8;260000
bc1q0zfqu08cdgjrxgdxrhapc0mspewt5zaxd0qmry;bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;1030700373
bc1qmm2y2wxnqcxlh9ku8ukmqayrmmc4rnmyc0n62e;bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;1030700373
bc1qmm2y2wxnqcxlh9ku8ukmqayrmmc4rnmyc0n62e;19FP3dZHKMBbekKKJeouWX5Mc5ZfkoRd2C;756800
1BQCzy6svimEHYb13Ah2XXqZ3c4j74rA3h;19FP3dZHKMBbekKKJeouWX5Mc5ZfkoRd2C;756800
1BQCzy6svimEHYb13Ah2XXqZ3c4j74rA3h;19LbM21K5zNzcfRY5T96P2vHEjn1Jgw5n;500000
1Bsqn4qVRUiokJLFbvF9we3ufanDVnsY71;19LbM21K5zNzcfRY5T96P2vHEjn1Jgw5n;500000
1Bsqn4qVRUiokJLFbvF9we3ufanDVnsY71;1A9basuMRaiaUWSoHKS6tEnspmYUjnpbfh;2500000
19A1eu7zSSPyyzZVYgt9cvmz8gWsMg6vCe;1A9basuMRaiaUWSoHKS6tEnspmYUjnpbfh;2500000
19A1eu7zSSPyyzZVYgt9cvmz8gWsMg6vCe;bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej;7028244
1KK6PLg5BLKwEks3zfViq15MySUSG6snRT;bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej;7028244
1KK6PLg5BLKwEks3zfViq15MySUSG6snRT;3N1SaqBNBtET43Qg1f2Xs3xSwqwfpf6RAa;280000
1CraYNnG6MhW1eJpBRuu5v5eTkdoE5av6k;3N1SaqBNBtET43Qg1f2Xs3xSwqwfpf6RAa;280000
1CraYNnG6MhW1eJpBRuu5v5eTkdoE5av6k;3BeQ46ADHoCpsamQZqK4WiwPaRWd4qmg6L;1434602
bc1qr09wht6qhvcne774u5a9du7mnj2jxfss4pqlw0;3BeQ46ADHoCpsamQZqK4WiwPaRWd4qmg6L;1434602
3B5cYXf287yArmNjZ3igtVf3oL642ZdSWm;bc1qg3a9m53k8d0pleyl9fwne5r3m490s7y0mhuza5;2037318
16K7RJeWUcceXuaZMRMCdSWWmqFqTVuyF1;3HyfvJKHy1myj7ENtzHpHJYiqvXXCdq8RQ;1213639
13xb28k37aemj6TML2sczreCc6YaQT1YoN;1H3tZ2nmW1bTs7qRYS4xUZwaSa3zm614zg;57148728
bc1q4lwy8lnayl7r5sgqlagkfkyrn8jre066csva4p;3KaiS3Lz9fTurSzejHZ2VLesUiRn4jtCoP;249242
3GxuiZWT5FoNYmKJvdEHye8q8cJD2Kbyyc;bc1qqwq84n2lvgnka82qpjfezhrqkdm69wzlgmg37z;1556265
3GxuiZWT5FoNYmKJvdEHye8q8cJD2Kbyyc;17APcwDBUYrgXKwMqYH6RsGkiRmhiQ7Ez3;109589232
3PXjTVj9Acjjghur6ikA2bf29t8CDBv2mC;17APcwDBUYrgXKwMqYH6RsGkiRmhiQ7Ez3;109589232
3PXjTVj9Acjjghur6ikA2bf29t8CDBv2mC;182YYtZ3MrjmsD9Piw9bPeTgqS3bSjTQJZ;592604.0476
37aJmy35NpA9YSoadXZdhrcy8scMcjUGdf;182YYtZ3MrjmsD9Piw9bPeTgqS3bSjTQJZ;592604.0476
37aJmy35NpA9YSoadXZdhrcy8scMcjUGdf;bc1q4e8tzt38x6dljtp6uvmfnzgcgrus93hpfu36a6;605402.2512
1BazyA2tLUccsb4CXsaWNETXTTv18KfwxL;bc1q4e8tzt38x6dljtp6uvmfnzgcgrus93hpfu36a6;605402.2512
1BazyA2tLUccsb4CXsaWNETXTTv18KfwxL;182YYtZ3MrjmsD9Piw9bPeTgqS3bSjTQJZ;582027.9524
1Gg5fn6WVNcjcXp6oAfRZPR8yRFVozCPNb;182YYtZ3MrjmsD9Piw9bPeTgqS3bSjTQJZ;582027.9524
bc1qus2ptzp4l07z4p98f3yv7xr0k7t5uvaxkeesnn;bc1q4e8tzt38x6dljtp6uvmfnzgcgrus93hpfu36a6;594597.7488
bc1q827ck9gxprc8269auh9hy2nvjtazpjd9z86gsq;3AZxjjjdoswxVarnFcghjgPhCaxEHwP12C;1238600
bc1q44edec6w7fmhuvy4qdq8eamxql4wkajqy875ym;1A5PFH8NdhLy1raKXKxFoqUgMAPUaqivqp;9880967900
1GPd9tpMfSeXW18HuUzQcRcsgmW4igLpYg;3NLRX2Bu9YT4o3iBsayPvUby3BHwYwTr7n;131120.5345
bc1qltxjty7xfrnkzlrhmxpcekknr3uncne8sht7rn;bc1q6vvpzsjmtyfh3sun0s5lvg7pgwmj2gva9hu0x2;981266.3646
bc1qltxjty7xfrnkzlrhmxpcekknr3uncne8sht7rn;3NLRX2Bu9YT4o3iBsayPvUby3BHwYwTr7n;1636510.466
bc1qltxjty7xfrnkzlrhmxpcekknr3uncne8sht7rn;bc1q6vvpzsjmtyfh3sun0s5lvg7pgwmj2gva9hu0x2;12247148.64
15nVTqFVWvDfX1KP4iRY73CHCxTUAMqfb7;3NLRX2Bu9YT4o3iBsayPvUby3BHwYwTr7n;1636510.466
15nVTqFVWvDfX1KP4iRY73CHCxTUAMqfb7;bc1q6vvpzsjmtyfh3sun0s5lvg7pgwmj2gva9hu0x2;12247148.64
15nVTqFVWvDfX1KP4iRY73CHCxTUAMqfb7;1AxP94jYMnCGzMp6n4xmtncoSm8fx3T5qc;31764.06729
15nVTqFVWvDfX1KP4iRY73CHCxTUAMqfb7;12iY4EcgZcxTrsi6mFQxi4X7JLTJh3THHS;61691.59503
15nVTqFVWvDfX1KP4iRY73CHCxTUAMqfb7;1AxP94jYMnCGzMp6n4xmtncoSm8fx3T5qc;119831.9327
15nVTqFVWvDfX1KP4iRY73CHCxTUAMqfb7;12iY4EcgZcxTrsi6mFQxi4X7JLTJh3THHS;232735.405
15nVTqFVWvDfX1KP4iRY73CHCxTUAMqfb7;bc1q3q5adwmfun94qe3c8aqteupe29jk3h663manz5;1515675
15nVTqFVWvDfX1KP4iRY73CHCxTUAMqfb7;1KUU8gwqkQrEcCNi9eeNPbapRKvDEJY74Y;2997332
15nVTqFVWvDfX1KP4iRY73CHCxTUAMqfb7;3AEtuVAW3UHZGyMw52TnpVBSi9b6qEvHrP;295557
15nVTqFVWvDfX1KP4iRY73CHCxTUAMqfb7;1PYvm4aYAeRXuvc1nUiBb28dEoa6ZUy2SQ;6435701
15nVTqFVWvDfX1KP4iRY73CHCxTUAMqfb7;18h6SENZj4ueDgKgRo5y6myzJEGE7wrtHp;212212
15nVTqFVWvDfX1KP4iRY73CHCxTUAMqfb7;19CaLjs7hsGKejMH7VaM1XYifyrp9osg4z;2805985
bc1qg7xuhrr4e7sguppl9th2qdv8xncx2qplfppxr6;bc1q6vvpzsjmtyfh3sun0s5lvg7pgwmj2gva9hu0x2;12247148.64
bc1qg7xuhrr4e7sguppl9th2qdv8xncx2qplfppxr6;1AxP94jYMnCGzMp6n4xmtncoSm8fx3T5qc;31764.06729
34zRo2qDcfbrVW6Bdxd2aHUaj8XrgUXGQc;1AxP94jYMnCGzMp6n4xmtncoSm8fx3T5qc;31764.06729
