Source;Target;Weight
Inicial;1KFHE7w8BhaENAswwryaoccDb6qcT6DbYY;631637708
17A16QmavnUfCW11DAApiJxp7ARnxN5pGX;1JNiMCM3QPSxx9acYAhYcJWfzNQc1akdTB;708188
17A16QmavnUfCW11DAApiJxp7ARnxN5pGX;3HeNBY1Kna42asyZWxTMN1Fq7MjziFWUqc;15167357
17A16QmavnUfCW11DAApiJxp7ARnxN5pGX;17A16QmavnUfCW11DAApiJxp7ARnxN5pGX;867539382
bc1quq75l7mtfm85f7fvhe66cyyemwhtxn29dl8qq6;3HeNBY1Kna42asyZWxTMN1Fq7MjziFWUqc;15167357
bc1qa2v3ry6dcv4srrfydtndwh4nhaq34yumw2wfay;17A16QmavnUfCW11DAApiJxp7ARnxN5pGX;867539382
bc1ql24gtggxlwqtmj680q203djcrhr5ehy7eehsk2;1LJbYsqw9EhsMWxFzBuHjthcSx8GGkVpXq;230020.6616
392PL8bMWF7ZMLpi8yCJUk2FQ7CDQSmJ1z;1LJbYsqw9EhsMWxFzBuHjthcSx8GGkVpXq;75374.79216
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej;1LJbYsqw9EhsMWxFzBuHjthcSx8GGkVpXq;68904.54624
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej;1G3YMXw2oxibsewhkodtNKVCi3W9kjvyPR;4110518
18MmMDj7nfiBGJWWbzqW7ukMWzKYXhwrD9;1G3YMXw2oxibsewhkodtNKVCi3W9kjvyPR;4110518
1C8vKX7df4Pad86yMZM5yZS1gQgDJ5oV95;3G2vmNVtCcGVMe2nqdHWzR9RNY69bns7bp;900000
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej;372000
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;39zKwDRFCW7VFCdRm9F8hij68DgPEsaRNS;2475597.598
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;39zKwDRFCW7VFCdRm9F8hij68DgPEsaRNS;179726.4017
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;3AB55nGFiVrR4aGrpx7h3iTYFHofeeN9ih;1660000
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;3K54oS2HPAM5zypgsPVENkH7obGGXQxfyV;494170
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;3D3z7sN5cdSErydEFY8CUhRQhDw7B1omBV;260000
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;bc1qccek8v40kjcgrfal9k8sqn3wlqxjprkg4a7ckq;1187770
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;3PW279jPEcD65Ny1eWtQJQBcpoSEDEfKf5;6993452
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;196653885
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;3FsVua6FuH3SUokXo11VZdfrpDGzCiP9ob;201240895
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;3Grekzp47AjJTZCpw2wguNgG5A5xQzLA7M;309466
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;1EwyksjewrBM96tmA1G14v7AzYM9vDzWR1;810000
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;1Pq8mHFfLmFbT334rcvmXR99mjBgP1XXx1;580270
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;bc1qpf64pr3vqe8xyfpw4zpgtxxjwnwgr4lygttpsa;260000
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;3FLGvTcf4LK2oXjr8h8Mr5ZJUtqRtXZ9Kx;11960000
bc1qpx3jlwywxes6acd48hz63fw579t60j8q2l30yr;39zKwDRFCW7VFCdRm9F8hij68DgPEsaRNS;2475597.598
bc1qpx3jlwywxes6acd48hz63fw579t60j8q2l30yr;39zKwDRFCW7VFCdRm9F8hij68DgPEsaRNS;179726.4017
1Kr6QSydW9bFQG1mXiPNNu6WpJGmUa9i1g;39zKwDRFCW7VFCdRm9F8hij68DgPEsaRNS;179726.4017
1Kr6QSydW9bFQG1mXiPNNu6WpJGmUa9i1g;3AB55nGFiVrR4aGrpx7h3iTYFHofeeN9ih;1660000
