Source;Target;Weight
Inicial;12KKDt4Mj7N5UAkQMN7LtPZMayenXHa8KL;643132581
bc1qa0y7tql26ahfuerq93ywd8y29zh6z0qrucdc4g;3KXD5LuJTP1pEA7Q3QfnZcaiRgGWghRHUd;453555
bc1qa0y7tql26ahfuerq93ywd8y29zh6z0qrucdc4g;bc1qgrhaw0nqmja37h26tamtkxyhcuztfek78uxy0u;414250060
1FWQiwK27EnGXb6BiBMRLJvunJQZZPMcGd;bc1qgrhaw0nqmja37h26tamtkxyhcuztfek78uxy0u;414250060
1FWQiwK27EnGXb6BiBMRLJvunJQZZPMcGd;1FWQiwK27EnGXb6BiBMRLJvunJQZZPMcGd;6639425
3KyomjNZUFikxar52bu3NrhYj8fDmTXyHZ;1FWQiwK27EnGXb6BiBMRLJvunJQZZPMcGd;6639425
3KyomjNZUFikxar52bu3NrhYj8fDmTXyHZ;bc1ql9fq3gcdekpd308kejw2d5flnd3etj6v8wlajy;988261
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej;bc1ql9fq3gcdekpd308kejw2d5flnd3etj6v8wlajy;988261
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej;1HmsSNLgQtZHfchkmiMXK8Xd23jyok7786;24082
bc1qcgaadw5ka5nc4pq5v87a8p0yct6rs856ltuddj;1HmsSNLgQtZHfchkmiMXK8Xd23jyok7786;24082
bc1qcgaadw5ka5nc4pq5v87a8p0yct6rs856ltuddj;1EcSPHQmDMGToeMzwZGr2H5r5M8fUgBUDq;9014168
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;1EcSPHQmDMGToeMzwZGr2H5r5M8fUgBUDq;9014168
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;3FEbFdEmrmiAepX8LZz2c2x1Mw2nY4AooM;1703000
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej;4250773
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;34BPrSzBQDrHAEtAvwDY44hnFVvYMHYiMj;62224
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;bc1qfjn4xgvager8lrvzvenskrqmy5vk3chzckvngg;3542482
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;3KSGJjbhCgxgpazQiyo1fHoA7cmc9LDu9n;1340000
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;3KUAj8g18ogmCgDdPZMKfsrKmjEf25ZVwF;1521720
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;bc1qg2evl2pxd06x9zg0np2q2sfh0mwzulswtd663y;3600000
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;1280915487
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;3HYXq5wS2pLA5JxpJ4BTJ52Gcv6rMMVVsg;74010
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;321kB15eyygg5Davxabs97ut2KHbQBtfNK;340000
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;1BoFX9QicVbuUWXkJN2sX5BbZBZC2J7Abu;2305200
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;1253972598
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;1DdbN5oHXLLcNmjGBxGALYsayZm9CcEn7p;21346280
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;18dzkw75o5qdhwTwKytGjtsDraHnqQbxUZ;339230
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;3BHjtEytsEFzpinaRPvQFs1MD48zgbhJc8;730000
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;bc1q63yeqchf654vk8zautvp2x25dqkh7f82qtauqx;1113500
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;3FPNSJL6L6eXcgiSYmWuV1a3PCRPppSyMK;420669
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;bc1qppw3ftdwr5075cngm6a6a7863mkge8tx5nl6qs;78250
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;524081955
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;bc1qzc76p97nuzc4084xzkze4men6mfgeu9spdd5u0;1171260
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;bc1q8lpp4kh47ywefcsjpthl6jgattlzw20q7edwfm;64780
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;3GRpcaA9C7DvobDvFdRapQWfa4JdhTrXcz;179880
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;bc1q0w526jup0h7ml3pntrkyum6a0xntzc3l67nhkl;371110
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;bc1qdah5n8k0yqk4wypp495axu5d9lkwz9raxrtpgy;269756
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;bc1ql8qyvytj6vgesmw50x3yg4ygzp3ckcu6e29t5h;76710
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;3QDnYf7XyURmDBCNWartCADY3SwSPNiht2;131710
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;bc1q8pwq9nvh9ggptqxmmf47nu9s5j460wt8xx3r0l;2700000
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;625536410
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;bc1qefaj9x9j0h5077nc3tmqgq54g3lvgjxfwv9hvg;463750
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;3NLqAEeWv1oirMTofbnW6Kape6Gv1rEdj1;1940000
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;1A3ZkFtmNUKT81DxinTRmbCusx8t2aHPGP;1301690
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;bc1qx9udxm57tvl6t7hgrte0sehjfd5efqqggaq0es;4723700
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;bc1q5w4zwxnr0k5m77v2h66zmp40ywhfs2g02ce4yy;3540000
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;bc1qa6lssacqyzznva9ekktj9vcc3u7py8p0xa5a0j;551780
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;bc1qcd7035f29vd3g9n2ng7ya3l0ffv4a4ljxlf0pc;1800000
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;32nqcMS1jEnJTsEUSdbWEEPprsK9pKdVzU;139940
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;656518435
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;bc1qx9udxm57tvl6t7hgrte0sehjfd5efqqggaq0es;4720230
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;1NghMnM2DUkWGa1VvvvnzRnhy7tRmCj8Yt;5756130
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;3LuYofXcw3PQrXKnH81q88YB6i4pxcaXsp;264480
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;1JmmtwV7fa7Sfe7EnA9jvMMKgYyZ3HJ6ag;251600
35iMHbUZeTssxBodiHwEEkb32jpBfVueEL;3FEbFdEmrmiAepX8LZz2c2x1Mw2nY4AooM;1703000
35iMHbUZeTssxBodiHwEEkb32jpBfVueEL;bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej;4250773
35iMHbUZeTssxBodiHwEEkb32jpBfVueEL;34BPrSzBQDrHAEtAvwDY44hnFVvYMHYiMj;62224
35iMHbUZeTssxBodiHwEEkb32jpBfVueEL;bc1qfjn4xgvager8lrvzvenskrqmy5vk3chzckvngg;3542482
35iMHbUZeTssxBodiHwEEkb32jpBfVueEL;3KSGJjbhCgxgpazQiyo1fHoA7cmc9LDu9n;1340000
35iMHbUZeTssxBodiHwEEkb32jpBfVueEL;3KUAj8g18ogmCgDdPZMKfsrKmjEf25ZVwF;1521720
35iMHbUZeTssxBodiHwEEkb32jpBfVueEL;bc1qg2evl2pxd06x9zg0np2q2sfh0mwzulswtd663y;3600000
35iMHbUZeTssxBodiHwEEkb32jpBfVueEL;bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;1280915487
35iMHbUZeTssxBodiHwEEkb32jpBfVueEL;3HYXq5wS2pLA5JxpJ4BTJ52Gcv6rMMVVsg;74010
35iMHbUZeTssxBodiHwEEkb32jpBfVueEL;321kB15eyygg5Davxabs97ut2KHbQBtfNK;340000
1NrLRpaxjXwmnam7Nh7KDGKfaXfRXEYEeJ;bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej;4250773
bc1qdenjt26fz83hlmwld6z4v526nqmlvgnw0xtjpl;34BPrSzBQDrHAEtAvwDY44hnFVvYMHYiMj;62224
bc1qtnzscl5h87md2n77ejlk2t2f7n9x9t3ddkxvgt;bc1qfjn4xgvager8lrvzvenskrqmy5vk3chzckvngg;3542482
bc1qtnzscl5h87md2n77ejlk2t2f7n9x9t3ddkxvgt;3KSGJjbhCgxgpazQiyo1fHoA7cmc9LDu9n;1340000
bc1qn8tfxfm2c7y7hsng0zmqg7t3zuuvcw606pvw990tdcsy7zsass8qxt4lhu;3KSGJjbhCgxgpazQiyo1fHoA7cmc9LDu9n;1340000
bc1qn8tfxfm2c7y7hsng0zmqg7t3zuuvcw606pvw990tdcsy7zsass8qxt4lhu;3KUAj8g18ogmCgDdPZMKfsrKmjEf25ZVwF;1521720
19UVKNonkUs6voLhAxiA2DQrg64KGuh9SR;3KUAj8g18ogmCgDdPZMKfsrKmjEf25ZVwF;1521720
19UVKNonkUs6voLhAxiA2DQrg64KGuh9SR;bc1qg2evl2pxd06x9zg0np2q2sfh0mwzulswtd663y;3600000
19UVKNonkUs6voLhAxiA2DQrg64KGuh9SR;bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;1280915487
19UVKNonkUs6voLhAxiA2DQrg64KGuh9SR;3HYXq5wS2pLA5JxpJ4BTJ52Gcv6rMMVVsg;74010
16nmRiCCtL2sHdDsvLUh3Y2o8Rd3y8X2iW;bc1qg2evl2pxd06x9zg0np2q2sfh0mwzulswtd663y;3600000
16nmRiCCtL2sHdDsvLUh3Y2o8Rd3y8X2iW;bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;1280915487
16nmRiCCtL2sHdDsvLUh3Y2o8Rd3y8X2iW;3HYXq5wS2pLA5JxpJ4BTJ52Gcv6rMMVVsg;74010
16nmRiCCtL2sHdDsvLUh3Y2o8Rd3y8X2iW;321kB15eyygg5Davxabs97ut2KHbQBtfNK;340000
16nmRiCCtL2sHdDsvLUh3Y2o8Rd3y8X2iW;1BoFX9QicVbuUWXkJN2sX5BbZBZC2J7Abu;2305200
18ocdAG1FVCWqKqnzm7m9YurUQj5hNTxjq;bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;1280915487
18ocdAG1FVCWqKqnzm7m9YurUQj5hNTxjq;3HYXq5wS2pLA5JxpJ4BTJ52Gcv6rMMVVsg;74010
18ocdAG1FVCWqKqnzm7m9YurUQj5hNTxjq;321kB15eyygg5Davxabs97ut2KHbQBtfNK;340000
18ocdAG1FVCWqKqnzm7m9YurUQj5hNTxjq;1BoFX9QicVbuUWXkJN2sX5BbZBZC2J7Abu;2305200
18ocdAG1FVCWqKqnzm7m9YurUQj5hNTxjq;bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;1253972598
bc1qnj9x0as8swh9np2tv282p9q3lyza2cg5gu38xk;3HYXq5wS2pLA5JxpJ4BTJ52Gcv6rMMVVsg;74010
bc1qnj9x0as8swh9np2tv282p9q3lyza2cg5gu38xk;321kB15eyygg5Davxabs97ut2KHbQBtfNK;340000
bc1qu7pxg5m86y7rwc368vv2acyve2ha35tuefgsfd;321kB15eyygg5Davxabs97ut2KHbQBtfNK;340000
bc1qu7pxg5m86y7rwc368vv2acyve2ha35tuefgsfd;1BoFX9QicVbuUWXkJN2sX5BbZBZC2J7Abu;2305200
bc1q2fq3elz2g2fd5nee6x5ugjkw2l2unfhkuqe274;1BoFX9QicVbuUWXkJN2sX5BbZBZC2J7Abu;2305200
bc1q2fq3elz2g2fd5nee6x5ugjkw2l2unfhkuqe274;bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;1253972598
bc1q35d7zw4xxnmge7vnd0lnsp9htkmzzk5z6cjqzr;bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;1253972598
bc1q35d7zw4xxnmge7vnd0lnsp9htkmzzk5z6cjqzr;1DdbN5oHXLLcNmjGBxGALYsayZm9CcEn7p;21346280
bc1qq54wfl0s0u5ps3qnh4j75sgapcwkcf9mlxnkfc;1DdbN5oHXLLcNmjGBxGALYsayZm9CcEn7p;21346280
bc1qq54wfl0s0u5ps3qnh4j75sgapcwkcf9mlxnkfc;18dzkw75o5qdhwTwKytGjtsDraHnqQbxUZ;339230
