Source;Target;Weight
Inicial;39bitUyBcUu3y3hRTtYprKbTp712t4ZWqK;628371776
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;bc1q5z7f9uq08evvstdshe7z9rsdtypmu0v928eqxj;1974040
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;836061021
bc1qfrm5470wspmdykkkz3ck7jf0f9csl23scxepap;bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf;836061021
bc1qryhgpmfv03qjhhp2dj8nw8g4ewg08jzmgy3cyx;bc1qrw78yj0ltagpy935mjn3ku6yrq6q7p9tjz4gyx;583600
bc1qryhgpmfv03qjhhp2dj8nw8g4ewg08jzmgy3cyx;bc1qryhgpmfv03qjhhp2dj8nw8g4ewg08jzmgy3cyx;2817412
bc1qprdf80adfz7aekh5nejjfrp3jksc8r929svpxk;bc1qryhgpmfv03qjhhp2dj8nw8g4ewg08jzmgy3cyx;2817412
bc1qprdf80adfz7aekh5nejjfrp3jksc8r929svpxk;bc1qh9pku2pqkkqtdavkrvz9e8us2zcm30jprgl04y;449168
bc1qprdf80adfz7aekh5nejjfrp3jksc8r929svpxk;39KhvsWg3EDJ6fgwbpDpVzUfHJ7ge293rr;585033
bc1qprdf80adfz7aekh5nejjfrp3jksc8r929svpxk;bc1q09fazgsa75k8mwggw7kdr7mus7fkmhndy04jhj;277000
bc1qprdf80adfz7aekh5nejjfrp3jksc8r929svpxk;bc1qyas32ac6tnvczjzg9h4xagcu5negqsqma32t58;293892
bc1qprdf80adfz7aekh5nejjfrp3jksc8r929svpxk;bc1qss4dq0epguwwf977rz0m7yayux45amcpkhvhjf;58760
bc1qprdf80adfz7aekh5nejjfrp3jksc8r929svpxk;3Q5Nd76VMewThkfr7aqTHrfLSxU5ni4yat;58038
bc1qprdf80adfz7aekh5nejjfrp3jksc8r929svpxk;3N1kbBMY1uKf2HuCu6QnUDeGj15jEWpqkT;670000
bc1qprdf80adfz7aekh5nejjfrp3jksc8r929svpxk;bc1qn69perzz3vk2qd3aelu5cdjw52w950dn3hkjss;1478259
bc1qprdf80adfz7aekh5nejjfrp3jksc8r929svpxk;bc1q7y2zwfgvt3k2y5pw5gfqh4thmwatgrujmda056;438300
