Source;Target;Weight
Inicial;1KFHE7w8BhaENAswwryaoccDb6qcT6DbYY;628937923
bc1qstd9ewwxtwsma8tzj0j9l0xdfzpgyzz94rmyeg;1JTJn2hJ4xuVYNbN1vFUVoPv69nApXbYbP;383743
bc1qstd9ewwxtwsma8tzj0j9l0xdfzpgyzz94rmyeg;bc1qsu8jhe9yl8t3rg9dzp2hfhf7le4vdrreyn3n6h;12688539
3DignkZhTEwWxNaWeUETymGZxQf4wVywiG;bc1qsu8jhe9yl8t3rg9dzp2hfhf7le4vdrreyn3n6h;12688539
3DignkZhTEwWxNaWeUETymGZxQf4wVywiG;3LcQo8Y93KCmQif6Fi4kfrihPXC1GMAnSk;278227
1Kb4g4eAtW4G96y8LZR5Xg6H9LyjVHPKBo;3LcQo8Y93KCmQif6Fi4kfrihPXC1GMAnSk;278227
1Kb4g4eAtW4G96y8LZR5Xg6H9LyjVHPKBo;3GDz2nXAkBjn2iC9mNgXusp1rtT8CPm8we;25591513
bc1q3wm34452kyz0zeuq9gzgmst08x4xf7x80ty0vh;3GDz2nXAkBjn2iC9mNgXusp1rtT8CPm8we;25591513
bc1q3wm34452kyz0zeuq9gzgmst08x4xf7x80ty0vh;1818JQnUJ9CLLLCL8qEvFZBRLjkysith1C;185002139
17aFuEruYmNYTWdDpr5UcvQ4o6hpx6zMuy;1818JQnUJ9CLLLCL8qEvFZBRLjkysith1C;185002139
1PtLPq5YGH59AZ3e9yxRXF8pw8z2cbgqQo;134wtak4oTaAPjJm94rGnyRcpCy2sj6duz;952544657
1PtLPq5YGH59AZ3e9yxRXF8pw8z2cbgqQo;18mdSBXgmX4Ddmf3jgo2zTVKPjqUyR35jS;1739919
3GPBW9eMM8eKqbPdePy1ZjwgpeYVh3AgNa;18mdSBXgmX4Ddmf3jgo2zTVKPjqUyR35jS;1739919
3HRN6xBfdpBe3dn46aPhKQTbURGq4a5uyt;bc1qp3j5phawumf78kau0nsvchvs408t5e6flw9sn6;1614517
bc1qje0qlfxmclhjnmlknce3k0yr7st9ycuua679fj8zyd8fg94lmzjqldjd68;31vvH4fYuhmBZ2Gqpxp5CMmURUmVCWm7J5;84870
bc1qje0qlfxmclhjnmlknce3k0yr7st9ycuua679fj8zyd8fg94lmzjqldjd68;1LTwcquoc5EkdXZTUB417vSdJEjXh6CAfh;1766446
bc1qcaa8wq42gal6r97vl3luhwwjy2xjxdqg8asdd4;1LTwcquoc5EkdXZTUB417vSdJEjXh6CAfh;1766446
bc1ql4en2ndfxyr8sap43kzf6aswwpyjgwasc67j60;19JJmQZzcdoWXVReyov8GqVrPupCsyMJtH;541725
bc1ql4en2ndfxyr8sap43kzf6aswwpyjgwasc67j60;38tMDpGfzeq5rAhkUTb1d4ghsbmAJF863H;1313795.258
bc1ql4en2ndfxyr8sap43kzf6aswwpyjgwasc67j60;38tMDpGfzeq5rAhkUTb1d4ghsbmAJF863H;322204.7416
bc1ql4en2ndfxyr8sap43kzf6aswwpyjgwasc67j60;bc1qw3fyy2yez9nq4y6x2dm8ermcwz8fcs8v0gqwxt;510000
bc1ql4en2ndfxyr8sap43kzf6aswwpyjgwasc67j60;bc1q5vr6f06ve5gpcdcn9c0dtqzc8kp3j2ehw5gku7;100000
bc1ql4en2ndfxyr8sap43kzf6aswwpyjgwasc67j60;3QFaYgqMYbFs4sLppjkbWcURTMMyMP2aHK;240344
bc1ql4en2ndfxyr8sap43kzf6aswwpyjgwasc67j60;19cC1731hsxdaPxxPnMhB9EVPjM7bti38G;754051
bc1ql4en2ndfxyr8sap43kzf6aswwpyjgwasc67j60;3Kw8sG9UtQUFGUdqGnrPhVtnCzYwQoKDPV;136750
bc1ql4en2ndfxyr8sap43kzf6aswwpyjgwasc67j60;3KKcjoNgfzhZgPErNUZ3tUKbDWuw7iouzQ;366053
bc1ql4en2ndfxyr8sap43kzf6aswwpyjgwasc67j60;3MXwHMqWHMQJkVUPXy2tEv1sMgJitLQSew;142613
14usfbqvq5nQfDynJJ7pSU3aTiJEqz6w9X;38tMDpGfzeq5rAhkUTb1d4ghsbmAJF863H;1313795.258
bc1quhfl6ulyspyl9jmdr38p9w9yvd7drmsqh83ppm;38tMDpGfzeq5rAhkUTb1d4ghsbmAJF863H;322204.7416
bc1qc37q3kzaaat5srm0r8hzjgfmrphgh5aa6jvcfl;bc1qw3fyy2yez9nq4y6x2dm8ermcwz8fcs8v0gqwxt;510000
bc1q4mpm6qvazqln275sa8x2xvu6452w8kuu6uttex;bc1q5vr6f06ve5gpcdcn9c0dtqzc8kp3j2ehw5gku7;100000
bc1q4rlzwp4qfyuynpa0d4u42yrd4rcn4qx76mj6qx;3QFaYgqMYbFs4sLppjkbWcURTMMyMP2aHK;240344
bc1qr37acch7est7rfxayfl20qqtnm88y25sa4qdcu;19cC1731hsxdaPxxPnMhB9EVPjM7bti38G;754051
bc1qtjkkk7zuz6dktcs69qqz7q5remtj03gjg8l3sa;3Kw8sG9UtQUFGUdqGnrPhVtnCzYwQoKDPV;136750
3PrmSz9zzDMFnacVTQfawHYsKsqPteLE8h;3KKcjoNgfzhZgPErNUZ3tUKbDWuw7iouzQ;366053
3PrmSz9zzDMFnacVTQfawHYsKsqPteLE8h;3MXwHMqWHMQJkVUPXy2tEv1sMgJitLQSew;142613
3Jq9RwpNGsM1CJfP5z4QVz22LmUzq4J4EQ;3MXwHMqWHMQJkVUPXy2tEv1sMgJitLQSew;142613
3Jq9RwpNGsM1CJfP5z4QVz22LmUzq4J4EQ;1J2LfUjJMYMU9HLAi4aUAjRRcwTHMu2cYR;141104
1KTSZAkGrVDF2DFxbC3cCkgAqznQbLfM18;1J2LfUjJMYMU9HLAi4aUAjRRcwTHMu2cYR;141104
1KTSZAkGrVDF2DFxbC3cCkgAqznQbLfM18;35zYsYEQz3wWmYWTtBufuEkniXakjfthTM;1894098
1KTSZAkGrVDF2DFxbC3cCkgAqznQbLfM18;bc1q2j86chp0y7wletnnmx0jxjfme626lw5asajmrd;53702.9003
1KTSZAkGrVDF2DFxbC3cCkgAqznQbLfM18;bc1qzmfglp5c6ssf0jaa2pu0plpjfrydgzd8jynudl;12001.0068
1KTSZAkGrVDF2DFxbC3cCkgAqznQbLfM18;bc1qs8v95wdmefne97hkexkxec69e0z8c2ucg5m0ct;78352.15133
1KTSZAkGrVDF2DFxbC3cCkgAqznQbLfM18;bc1qqcun9aqkp32ff9vlpzpm2dnjhs6ss8sn05vf6w;1355.668949
1KTSZAkGrVDF2DFxbC3cCkgAqznQbLfM18;bc1qs8v95wdmefne97hkexkxec69e0z8c2ucg5m0ct;4064.848668
