Source;Target;Weight
Inicial;1KFHE7w8BhaENAswwryaoccDb6qcT6DbYY;800650724
1CUTyyxgbKvtCdoYmceQJCZLXCde5akiX2;3QgvjqRzWRCTHos29jydkYd5hgYqm2MyQY;40000
1CUTyyxgbKvtCdoYmceQJCZLXCde5akiX2;1PZNGe46QhPmDGNmRLZhQq4kdbkDmvospr;250206
1CUTyyxgbKvtCdoYmceQJCZLXCde5akiX2;1PnhzDmecJkRnx755cvy4KKeB54KCZf65X;5702122
1CUTyyxgbKvtCdoYmceQJCZLXCde5akiX2;1CUTyyxgbKvtCdoYmceQJCZLXCde5akiX2;116172328
1CUTyyxgbKvtCdoYmceQJCZLXCde5akiX2;16JDJ99Y3BBPeC5HEgrfaXAMpiTdmocXzW;275183
1CUTyyxgbKvtCdoYmceQJCZLXCde5akiX2;18s1CxAe5oEC1vcDqax2UXbdzseihKwPAe;26000
1CUTyyxgbKvtCdoYmceQJCZLXCde5akiX2;19V24VNCkMYsHVfMoZjwSNy1LN3EzJ2qJZ;49349
1CUTyyxgbKvtCdoYmceQJCZLXCde5akiX2;34pxFhRLcamnAR9UVVVAAq7zKvQLfdXbcV;1323555
1CUTyyxgbKvtCdoYmceQJCZLXCde5akiX2;1HPTX2hr7ZX5JJ8RFZVznvskkkER9Jzjg4;797100
1CUTyyxgbKvtCdoYmceQJCZLXCde5akiX2;1JRC7FXp4RMr4rm4akSdEWRB2F2b4Dg5XL;79620079
1CUTyyxgbKvtCdoYmceQJCZLXCde5akiX2;3HDJVCX6sJSAmC6REdUXmdrgPpNEia1MDb;900000
1CUTyyxgbKvtCdoYmceQJCZLXCde5akiX2;1JdtgLbo3uABNg62auBS8z2s1WN84qJBjm;2761508
1CUTyyxgbKvtCdoYmceQJCZLXCde5akiX2;1CUTyyxgbKvtCdoYmceQJCZLXCde5akiX2;28819554
1CUTyyxgbKvtCdoYmceQJCZLXCde5akiX2;3E7zNmpdjuwwN47iX3Y1bRXazTv4FKt8WX;127237
1CUTyyxgbKvtCdoYmceQJCZLXCde5akiX2;1CUTyyxgbKvtCdoYmceQJCZLXCde5akiX2;412519262
1Q9gYHUSv9KUbABZQVnVho6kTgAZcQm9ao;1PZNGe46QhPmDGNmRLZhQq4kdbkDmvospr;250206
1Q9gYHUSv9KUbABZQVnVho6kTgAZcQm9ao;1PnhzDmecJkRnx755cvy4KKeB54KCZf65X;5702122
1CUTyyxgbKvtCdoYmceQJCZLXCde5akiX2;1PnhzDmecJkRnx755cvy4KKeB54KCZf65X;5702122
bc1qjjt4r5pgmfavh3d4cr37w6z4p93xu9ud07fxel;1CUTyyxgbKvtCdoYmceQJCZLXCde5akiX2;116172328
15CphZVGcLtRwuoyzqezNhX8wJk2o9aRyA;16JDJ99Y3BBPeC5HEgrfaXAMpiTdmocXzW;275183
1F3zqrAsZLdE4EQ5wLwDJpGvEcyMF63Taz;18s1CxAe5oEC1vcDqax2UXbdzseihKwPAe;26000
37VbgjzwVrM93g6zQrc4XP5RonpwnwKevj;19V24VNCkMYsHVfMoZjwSNy1LN3EzJ2qJZ;49349
37VbgjzwVrM93g6zQrc4XP5RonpwnwKevj;34pxFhRLcamnAR9UVVVAAq7zKvQLfdXbcV;1323555
37VbgjzwVrM93g6zQrc4XP5RonpwnwKevj;1HPTX2hr7ZX5JJ8RFZVznvskkkER9Jzjg4;797100
37VbgjzwVrM93g6zQrc4XP5RonpwnwKevj;1JRC7FXp4RMr4rm4akSdEWRB2F2b4Dg5XL;79620079
bc1qnsp82zqammwwpw5jcq22sz3athd3a0qv8gz6u7;34pxFhRLcamnAR9UVVVAAq7zKvQLfdXbcV;1323555
3PuLp8xyD7zWvgCWW9vmxFFLDGCm7p5h5y;1HPTX2hr7ZX5JJ8RFZVznvskkkER9Jzjg4;797100
38vM6WzDSwr7H7ttA17M4hjLVYWhkjaQH7;1JRC7FXp4RMr4rm4akSdEWRB2F2b4Dg5XL;79620079
38vM6WzDSwr7H7ttA17M4hjLVYWhkjaQH7;3HDJVCX6sJSAmC6REdUXmdrgPpNEia1MDb;900000
38vM6WzDSwr7H7ttA17M4hjLVYWhkjaQH7;1JdtgLbo3uABNg62auBS8z2s1WN84qJBjm;2761508
38vM6WzDSwr7H7ttA17M4hjLVYWhkjaQH7;1CUTyyxgbKvtCdoYmceQJCZLXCde5akiX2;28819554
39dk7jM6HzQ8aYr8CwC4XSTNke8kXDJaQY;3HDJVCX6sJSAmC6REdUXmdrgPpNEia1MDb;900000
39dk7jM6HzQ8aYr8CwC4XSTNke8kXDJaQY;1JdtgLbo3uABNg62auBS8z2s1WN84qJBjm;2761508
39dk7jM6HzQ8aYr8CwC4XSTNke8kXDJaQY;1CUTyyxgbKvtCdoYmceQJCZLXCde5akiX2;28819554
39dk7jM6HzQ8aYr8CwC4XSTNke8kXDJaQY;bc1qkrh45vrf6kp27x0pvs02mt8mqsrv3tky6p8fw8;3966686
39dk7jM6HzQ8aYr8CwC4XSTNke8kXDJaQY;136DxNoK2gwe2fL9XEPSrHSNS2F4SjST7p;10000000
39dk7jM6HzQ8aYr8CwC4XSTNke8kXDJaQY;1F3zqrAsZLdE4EQ5wLwDJpGvEcyMF63Taz;848719841
39dk7jM6HzQ8aYr8CwC4XSTNke8kXDJaQY;3E7zNmpdjuwwN47iX3Y1bRXazTv4FKt8WX;127237
39dk7jM6HzQ8aYr8CwC4XSTNke8kXDJaQY;1CUTyyxgbKvtCdoYmceQJCZLXCde5akiX2;412519262
39dk7jM6HzQ8aYr8CwC4XSTNke8kXDJaQY;397xJSdGdTyfvcw5w5gsYkAGHRKw4VLP8q;2564229
39dk7jM6HzQ8aYr8CwC4XSTNke8kXDJaQY;136DxNoK2gwe2fL9XEPSrHSNS2F4SjST7p;9997557.818
39dk7jM6HzQ8aYr8CwC4XSTNke8kXDJaQY;136DxNoK2gwe2fL9XEPSrHSNS2F4SjST7p;848512568.2
39dk7jM6HzQ8aYr8CwC4XSTNke8kXDJaQY;3NJttVgguhnXmZw5g44ZGzVbu1yTtATrNq;5836410
39dk7jM6HzQ8aYr8CwC4XSTNke8kXDJaQY;37VbgjzwVrM93g6zQrc4XP5RonpwnwKevj;6025339153
39dk7jM6HzQ8aYr8CwC4XSTNke8kXDJaQY;3LQhCoi2KfQzywaToN4TREx29pR1HtYjq7;422074
39dk7jM6HzQ8aYr8CwC4XSTNke8kXDJaQY;37VbgjzwVrM93g6zQrc4XP5RonpwnwKevj;6024817079
39dk7jM6HzQ8aYr8CwC4XSTNke8kXDJaQY;1MDVTt4yiji8dgiLnsKAryscEnKZLWVfKZ;11000000
39dk7jM6HzQ8aYr8CwC4XSTNke8kXDJaQY;1JhQwmihd9NBC4h5A2nhM7scL9tnzWkt6K;4778.907804
39dk7jM6HzQ8aYr8CwC4XSTNke8kXDJaQY;1HP5GzJaaHwyXMBZQVT8PGrSbkdZW5SKJB;6349.804194
39dk7jM6HzQ8aYr8CwC4XSTNke8kXDJaQY;39dk7jM6HzQ8aYr8CwC4XSTNke8kXDJaQY;1607398.528
39dk7jM6HzQ8aYr8CwC4XSTNke8kXDJaQY;15PUA9semvuprFG1swSzvyNsJdkxPJ8JgV;837.1437559
39dk7jM6HzQ8aYr8CwC4XSTNke8kXDJaQY;39dk7jM6HzQ8aYr8CwC4XSTNke8kXDJaQY;1491221.421
39dk7jM6HzQ8aYr8CwC4XSTNke8kXDJaQY;15PUA9semvuprFG1swSzvyNsJdkxPJ8JgV;776.6379518
39dk7jM6HzQ8aYr8CwC4XSTNke8kXDJaQY;1JhQwmihd9NBC4h5A2nhM7scL9tnzWkt6K;15513.42035
39dk7jM6HzQ8aYr8CwC4XSTNke8kXDJaQY;1HP5GzJaaHwyXMBZQVT8PGrSbkdZW5SKJB;20612.90688
39dk7jM6HzQ8aYr8CwC4XSTNke8kXDJaQY;39dk7jM6HzQ8aYr8CwC4XSTNke8kXDJaQY;303116934.4
39dk7jM6HzQ8aYr8CwC4XSTNke8kXDJaQY;15PUA9semvuprFG1swSzvyNsJdkxPJ8JgV;157865.2988
39dk7jM6HzQ8aYr8CwC4XSTNke8kXDJaQY;1GwBoGRccJcY37PGHDeRML9naNSu1prMno;124872700
39dk7jM6HzQ8aYr8CwC4XSTNke8kXDJaQY;35C1fcDczK3Puw49fWKR4EA7fHpQ7rwikX;141629
39dk7jM6HzQ8aYr8CwC4XSTNke8kXDJaQY;bc1q3nteuz0pn4qttyperklzxgvvklz07qee4zrupt;4203077
39dk7jM6HzQ8aYr8CwC4XSTNke8kXDJaQY;31k9J62Gktet1PTUoyPASYeYwT9sn898um;240091.61
39dk7jM6HzQ8aYr8CwC4XSTNke8kXDJaQY;31k9J62Gktet1PTUoyPASYeYwT9sn898um;372759908.4
39dk7jM6HzQ8aYr8CwC4XSTNke8kXDJaQY;37WhP15MEdcujkMYbgWUBJP1d7APAhop5e;136989
39dk7jM6HzQ8aYr8CwC4XSTNke8kXDJaQY;39dk7jM6HzQ8aYr8CwC4XSTNke8kXDJaQY;160494.7826
39dk7jM6HzQ8aYr8CwC4XSTNke8kXDJaQY;3ATu57mwMFG5S7nBsgBnJpC3rriS6JXjiu;417.806534
39dk7jM6HzQ8aYr8CwC4XSTNke8kXDJaQY;39dk7jM6HzQ8aYr8CwC4XSTNke8kXDJaQY;294066247.2
39dk7jM6HzQ8aYr8CwC4XSTNke8kXDJaQY;3ATu57mwMFG5S7nBsgBnJpC3rriS6JXjiu;765525.1935
